date,hour_interval,total_precip
2015-01-01,0000-0400,0.0
2015-01-01,0400-0800,0.0
2015-01-01,0800-1200,0.0
2015-01-01,1200-1600,0.0
2015-01-01,1600-2000,0.0
2015-01-01,2000-0000,0.0
2015-01-02,0000-0400,0.0
2015-01-02,0400-0800,0.0
2015-01-02,0800-1200,0.0
2015-01-02,1200-1600,0.0
2015-01-02,1600-2000,0.0
2015-01-02,2000-0000,0.0
2015-01-03,0000-0400,0.0
2015-01-03,0400-0800,0.0
2015-01-03,0800-1200,0.0
2015-01-03,1200-1600,0.43
2015-01-03,1600-2000,0.8300000000000001
2015-01-03,2000-0000,0.27999999999999997
2015-01-04,0000-0400,0.4
2015-01-04,0400-0800,0.05
2015-01-04,0800-1200,0.02
2015-01-04,1200-1600,0.0
2015-01-04,1600-2000,0.02
2015-01-04,2000-0000,0.060000000000000005
2015-01-05,0000-0400,0.0
2015-01-05,0400-0800,0.0
2015-01-05,0800-1200,0.0
2015-01-05,1200-1600,0.0
2015-01-05,1600-2000,0.0
2015-01-05,2000-0000,0.0
2015-01-06,0000-0400,0.0
2015-01-06,0400-0800,0.0
2015-01-06,0800-1200,0.07999999999999999
2015-01-06,1200-1600,0.0
2015-01-06,1600-2000,0.0
2015-01-06,2000-0000,0.0
2015-01-07,0000-0400,0.0
2015-01-07,0400-0800,0.0
2015-01-07,0800-1200,0.0
2015-01-07,1200-1600,0.0
2015-01-07,1600-2000,0.0
2015-01-07,2000-0000,0.0
2015-01-08,0000-0400,0.0
2015-01-08,0400-0800,0.0
2015-01-08,0800-1200,0.0
2015-01-08,1200-1600,0.0
2015-01-08,1600-2000,0.0
2015-01-08,2000-0000,0.0
2015-01-09,0000-0400,0.0
2015-01-09,0400-0800,0.11000000000000001
2015-01-09,0800-1200,0.14
2015-01-09,1200-1600,0.0
2015-01-09,1600-2000,0.0
2015-01-09,2000-0000,0.0
2015-01-10,0000-0400,0.0
2015-01-10,0400-0800,0.0
2015-01-10,0800-1200,0.0
2015-01-10,1200-1600,0.0
2015-01-10,1600-2000,0.0
2015-01-10,2000-0000,0.0
2015-01-11,0000-0400,0.0
2015-01-11,0400-0800,0.0
2015-01-11,0800-1200,0.0
2015-01-11,1200-1600,0.0
2015-01-11,1600-2000,0.0
2015-01-11,2000-0000,0.0
2015-01-12,0000-0400,0.0
2015-01-12,0400-0800,0.01
2015-01-12,0800-1200,0.18000000000000002
2015-01-12,1200-1600,0.6600000000000001
2015-01-12,1600-2000,0.0
2015-01-12,2000-0000,0.01
2015-01-13,0000-0400,0.0
2015-01-13,0400-0800,0.0
2015-01-13,0800-1200,0.0
2015-01-13,1200-1600,0.0
2015-01-13,1600-2000,0.0
2015-01-13,2000-0000,0.0
2015-01-14,0000-0400,0.0
2015-01-14,0400-0800,0.0
2015-01-14,0800-1200,0.0
2015-01-14,1200-1600,0.0
2015-01-14,1600-2000,0.0
2015-01-14,2000-0000,0.0
2015-01-15,0000-0400,0.0
2015-01-15,0400-0800,0.0
2015-01-15,0800-1200,0.0
2015-01-15,1200-1600,0.0
2015-01-15,1600-2000,0.0
2015-01-15,2000-0000,0.0
2015-01-16,0000-0400,0.0
2015-01-16,0400-0800,0.0
2015-01-16,0800-1200,0.0
2015-01-16,1200-1600,0.0
2015-01-16,1600-2000,0.0
2015-01-16,2000-0000,0.0
2015-01-17,0000-0400,0.0
2015-01-17,0400-0800,0.0
2015-01-17,0800-1200,0.0
2015-01-17,1200-1600,0.0
2015-01-17,1600-2000,0.0
2015-01-17,2000-0000,0.0
2015-01-18,0000-0400,0.0
2015-01-18,0400-0800,0.02
2015-01-18,0800-1200,0.91
2015-01-18,1200-1600,2.12
2015-01-18,1600-2000,0.95
2015-01-18,2000-0000,0.03
2015-01-19,0000-0400,0.0
2015-01-19,0400-0800,0.0
2015-01-19,0800-1200,0.0
2015-01-19,1200-1600,0.0
2015-01-19,1600-2000,0.0
2015-01-19,2000-0000,0.0
2015-01-20,0000-0400,0.0
2015-01-20,0400-0800,0.0
2015-01-20,0800-1200,0.0
2015-01-20,1200-1600,0.0
2015-01-20,1600-2000,0.0
2015-01-20,2000-0000,0.0
2015-01-21,0000-0400,0.0
2015-01-21,0400-0800,0.0
2015-01-21,0800-1200,0.0
2015-01-21,1200-1600,0.0
2015-01-21,1600-2000,0.0
2015-01-21,2000-0000,0.0
2015-01-22,0000-0400,0.0
2015-01-22,0400-0800,0.0
2015-01-22,0800-1200,0.0
2015-01-22,1200-1600,0.0
2015-01-22,1600-2000,0.0
2015-01-22,2000-0000,0.0
2015-01-23,0000-0400,0.0
2015-01-23,0400-0800,0.0
2015-01-23,0800-1200,0.0
2015-01-23,1200-1600,0.0
2015-01-23,1600-2000,0.0
2015-01-23,2000-0000,0.0
2015-01-24,0000-0400,0.42
2015-01-24,0400-0800,0.6
2015-01-24,0800-1200,0.04
2015-01-24,1200-1600,0.0
2015-01-24,1600-2000,0.01
2015-01-24,2000-0000,0.0
2015-01-25,0000-0400,0.0
2015-01-25,0400-0800,0.0
2015-01-25,0800-1200,0.0
2015-01-25,1200-1600,0.0
2015-01-25,1600-2000,0.0
2015-01-25,2000-0000,0.0
2015-01-26,0000-0400,0.0
2015-01-26,0400-0800,0.0
2015-01-26,0800-1200,0.04
2015-01-26,1200-1600,0.33999999999999997
2015-01-26,1600-2000,0.16
2015-01-26,2000-0000,0.12
2015-01-27,0000-0400,0.41000000000000003
2015-01-27,0400-0800,0.11999999999999998
2015-01-27,0800-1200,0.0
2015-01-27,1200-1600,0.0
2015-01-27,1600-2000,0.0
2015-01-27,2000-0000,0.0
2015-01-28,0000-0400,0.0
2015-01-28,0400-0800,0.0
2015-01-28,0800-1200,0.0
2015-01-28,1200-1600,0.0
2015-01-28,1600-2000,0.0
2015-01-28,2000-0000,0.0
2015-01-29,0000-0400,0.0
2015-01-29,0400-0800,0.0
2015-01-29,0800-1200,0.0
2015-01-29,1200-1600,0.0
2015-01-29,1600-2000,0.0
2015-01-29,2000-0000,0.03
2015-01-30,0000-0400,0.13999999999999999
2015-01-30,0400-0800,0.0
2015-01-30,0800-1200,0.02
2015-01-30,1200-1600,0.0
2015-01-30,1600-2000,0.0
2015-01-30,2000-0000,0.0
2015-01-31,0000-0400,0.0
2015-01-31,0400-0800,0.0
2015-01-31,0800-1200,0.0
2015-01-31,1200-1600,0.0
2015-01-31,1600-2000,0.0
2015-01-31,2000-0000,0.0
2015-02-01,0000-0400,0.0
2015-02-01,0400-0800,0.0
2015-02-01,0800-1200,0.0
2015-02-01,1200-1600,0.0
2015-02-01,1600-2000,0.0
2015-02-01,2000-0000,0.08999999999999998
2015-02-02,0000-0400,0.32999999999999996
2015-02-02,0400-0800,1.0500000000000003
2015-02-02,0800-1200,0.5100000000000001
2015-02-02,1200-1600,0.13999999999999999
2015-02-02,1600-2000,0.0
2015-02-02,2000-0000,0.0
2015-02-03,0000-0400,0.0
2015-02-03,0400-0800,0.0
2015-02-03,0800-1200,0.0
2015-02-03,1200-1600,0.0
2015-02-03,1600-2000,0.0
2015-02-03,2000-0000,0.0
2015-02-04,0000-0400,0.0
2015-02-04,0400-0800,0.0
2015-02-04,0800-1200,0.0
2015-02-04,1200-1600,0.0
2015-02-04,1600-2000,0.0
2015-02-04,2000-0000,0.0
2015-02-05,0000-0400,0.0
2015-02-05,0400-0800,0.0
2015-02-05,0800-1200,0.0
2015-02-05,1200-1600,0.0
2015-02-05,1600-2000,0.0
2015-02-05,2000-0000,0.0
2015-02-06,0000-0400,0.0
2015-02-06,0400-0800,0.0
2015-02-06,0800-1200,0.0
2015-02-06,1200-1600,0.0
2015-02-06,1600-2000,0.0
2015-02-06,2000-0000,0.0
2015-02-07,0000-0400,0.0
2015-02-07,0400-0800,0.0
2015-02-07,0800-1200,0.03
2015-02-07,1200-1600,0.0
2015-02-07,1600-2000,0.0
2015-02-07,2000-0000,0.0
2015-02-08,0000-0400,0.0
2015-02-08,0400-0800,0.0
2015-02-08,0800-1200,0.0
2015-02-08,1200-1600,0.0
2015-02-08,1600-2000,0.0
2015-02-08,2000-0000,0.0
2015-02-09,0000-0400,0.0
2015-02-09,0400-0800,0.06
2015-02-09,0800-1200,0.03
2015-02-09,1200-1600,0.0
2015-02-09,1600-2000,0.0
2015-02-09,2000-0000,0.0
2015-02-10,0000-0400,0.0
2015-02-10,0400-0800,0.02
2015-02-10,0800-1200,0.0
2015-02-10,1200-1600,0.0
2015-02-10,1600-2000,0.0
2015-02-10,2000-0000,0.0
2015-02-11,0000-0400,0.0
2015-02-11,0400-0800,0.0
2015-02-11,0800-1200,0.0
2015-02-11,1200-1600,0.0
2015-02-11,1600-2000,0.0
2015-02-11,2000-0000,0.0
2015-02-12,0000-0400,0.0
2015-02-12,0400-0800,0.0
2015-02-12,0800-1200,0.0
2015-02-12,1200-1600,0.0
2015-02-12,1600-2000,0.0
2015-02-12,2000-0000,0.0
2015-02-13,0000-0400,0.0
2015-02-13,0400-0800,0.0
2015-02-13,0800-1200,0.0
2015-02-13,1200-1600,0.0
2015-02-13,1600-2000,0.0
2015-02-13,2000-0000,0.0
2015-02-14,0000-0400,0.0
2015-02-14,0400-0800,0.0
2015-02-14,0800-1200,0.0
2015-02-14,1200-1600,0.01
2015-02-14,1600-2000,0.0
2015-02-14,2000-0000,0.01
2015-02-15,0000-0400,0.0
2015-02-15,0400-0800,0.0
2015-02-15,0800-1200,0.0
2015-02-15,1200-1600,0.0
2015-02-15,1600-2000,0.0
2015-02-15,2000-0000,0.0
2015-02-16,0000-0400,0.0
2015-02-16,0400-0800,0.0
2015-02-16,0800-1200,0.0
2015-02-16,1200-1600,0.0
2015-02-16,1600-2000,0.0
2015-02-16,2000-0000,0.0
2015-02-17,0000-0400,0.05
2015-02-17,0400-0800,0.13
2015-02-17,0800-1200,0.02
2015-02-17,1200-1600,0.0
2015-02-17,1600-2000,0.0
2015-02-17,2000-0000,0.0
2015-02-18,0000-0400,0.0
2015-02-18,0400-0800,0.0
2015-02-18,0800-1200,0.0
2015-02-18,1200-1600,0.0
2015-02-18,1600-2000,0.0
2015-02-18,2000-0000,0.0
2015-02-19,0000-0400,0.0
2015-02-19,0400-0800,0.0
2015-02-19,0800-1200,0.0
2015-02-19,1200-1600,0.0
2015-02-19,1600-2000,0.0
2015-02-19,2000-0000,0.0
2015-02-20,0000-0400,0.0
2015-02-20,0400-0800,0.0
2015-02-20,0800-1200,0.0
2015-02-20,1200-1600,0.0
2015-02-20,1600-2000,0.0
2015-02-20,2000-0000,0.0
2015-02-21,0000-0400,0.0
2015-02-21,0400-0800,0.0
2015-02-21,0800-1200,0.0
2015-02-21,1200-1600,0.16
2015-02-21,1600-2000,0.27
2015-02-21,2000-0000,0.45
2015-02-22,0000-0400,0.07
2015-02-22,0400-0800,0.2
2015-02-22,0800-1200,0.0
2015-02-22,1200-1600,0.0
2015-02-22,1600-2000,0.0
2015-02-22,2000-0000,0.0
2015-02-23,0000-0400,0.0
2015-02-23,0400-0800,0.0
2015-02-23,0800-1200,0.0
2015-02-23,1200-1600,0.0
2015-02-23,1600-2000,0.0
2015-02-23,2000-0000,0.0
2015-02-24,0000-0400,0.0
2015-02-24,0400-0800,0.0
2015-02-24,0800-1200,0.0
2015-02-24,1200-1600,0.0
2015-02-24,1600-2000,0.0
2015-02-24,2000-0000,0.0
2015-02-25,0000-0400,0.0
2015-02-25,0400-0800,0.0
2015-02-25,0800-1200,0.0
2015-02-25,1200-1600,0.0
2015-02-25,1600-2000,0.0
2015-02-25,2000-0000,0.0
2015-02-26,0000-0400,0.0
2015-02-26,0400-0800,0.0
2015-02-26,0800-1200,0.0
2015-02-26,1200-1600,0.0
2015-02-26,1600-2000,0.0
2015-02-26,2000-0000,0.0
2015-02-27,0000-0400,0.0
2015-02-27,0400-0800,0.0
2015-02-27,0800-1200,0.0
2015-02-27,1200-1600,0.0
2015-02-27,1600-2000,0.0
2015-02-27,2000-0000,0.0
2015-02-28,0000-0400,0.0
2015-02-28,0400-0800,0.0
2015-02-28,0800-1200,0.0
2015-02-28,1200-1600,0.0
2015-02-28,1600-2000,0.0
2015-02-28,2000-0000,0.0
2015-03-01,0000-0400,0.0
2015-03-01,0400-0800,0.0
2015-03-01,0800-1200,0.0
2015-03-01,1200-1600,0.35
2015-03-01,1600-2000,0.6200000000000002
2015-03-01,2000-0000,0.17
2015-03-02,0000-0400,0.0
2015-03-02,0400-0800,0.0
2015-03-02,0800-1200,0.0
2015-03-02,1200-1600,0.0
2015-03-02,1600-2000,0.0
2015-03-02,2000-0000,0.0
2015-03-03,0000-0400,0.0
2015-03-03,0400-0800,0.0
2015-03-03,0800-1200,0.0
2015-03-03,1200-1600,0.03
2015-03-03,1600-2000,0.8
2015-03-03,2000-0000,0.45
2015-03-04,0000-0400,0.0
2015-03-04,0400-0800,0.05
2015-03-04,0800-1200,0.03
2015-03-04,1200-1600,0.0
2015-03-04,1600-2000,0.0
2015-03-04,2000-0000,0.38
2015-03-05,0000-0400,0.27
2015-03-05,0400-0800,0.17
2015-03-05,0800-1200,0.55
2015-03-05,1200-1600,0.21000000000000002
2015-03-05,1600-2000,0.060000000000000005
2015-03-05,2000-0000,0.0
2015-03-06,0000-0400,0.0
2015-03-06,0400-0800,0.0
2015-03-06,0800-1200,0.0
2015-03-06,1200-1600,0.0
2015-03-06,1600-2000,0.0
2015-03-06,2000-0000,0.0
2015-03-07,0000-0400,0.0
2015-03-07,0400-0800,0.0
2015-03-07,0800-1200,0.0
2015-03-07,1200-1600,0.0
2015-03-07,1600-2000,0.0
2015-03-07,2000-0000,0.0
2015-03-08,0000-0400,0.0
2015-03-08,0400-0800,0.0
2015-03-08,0800-1200,0.0
2015-03-08,1200-1600,0.0
2015-03-08,1600-2000,0.0
2015-03-08,2000-0000,0.0
2015-03-09,0000-0400,0.0
2015-03-09,0400-0800,0.01
2015-03-09,0800-1200,0.0
2015-03-09,1200-1600,0.0
2015-03-09,1600-2000,0.0
2015-03-09,2000-0000,0.0
2015-03-10,0000-0400,0.0
2015-03-10,0400-0800,0.0
2015-03-10,0800-1200,0.0
2015-03-10,1200-1600,0.01
2015-03-10,1600-2000,0.45000000000000007
2015-03-10,2000-0000,0.4800000000000001
2015-03-11,0000-0400,0.01
2015-03-11,0400-0800,0.0
2015-03-11,0800-1200,0.0
2015-03-11,1200-1600,0.0
2015-03-11,1600-2000,0.0
2015-03-11,2000-0000,0.0
2015-03-12,0000-0400,0.0
2015-03-12,0400-0800,0.0
2015-03-12,0800-1200,0.0
2015-03-12,1200-1600,0.0
2015-03-12,1600-2000,0.0
2015-03-12,2000-0000,0.0
2015-03-13,0000-0400,0.0
2015-03-13,0400-0800,0.0
2015-03-13,0800-1200,0.0
2015-03-13,1200-1600,0.0
2015-03-13,1600-2000,0.0
2015-03-13,2000-0000,0.0
2015-03-14,0000-0400,0.060000000000000005
2015-03-14,0400-0800,0.6100000000000001
2015-03-14,0800-1200,0.44
2015-03-14,1200-1600,0.04
2015-03-14,1600-2000,0.06
2015-03-14,2000-0000,0.09999999999999999
2015-03-15,0000-0400,0.0
2015-03-15,0400-0800,0.0
2015-03-15,0800-1200,0.0
2015-03-15,1200-1600,0.0
2015-03-15,1600-2000,0.0
2015-03-15,2000-0000,0.0
2015-03-16,0000-0400,0.0
2015-03-16,0400-0800,0.0
2015-03-16,0800-1200,0.0
2015-03-16,1200-1600,0.0
2015-03-16,1600-2000,0.0
2015-03-16,2000-0000,0.0
2015-03-17,0000-0400,0.01
2015-03-17,0400-0800,0.01
2015-03-17,0800-1200,0.0
2015-03-17,1200-1600,0.0
2015-03-17,1600-2000,0.0
2015-03-17,2000-0000,0.0
2015-03-18,0000-0400,0.0
2015-03-18,0400-0800,0.0
2015-03-18,0800-1200,0.0
2015-03-18,1200-1600,0.0
2015-03-18,1600-2000,0.0
2015-03-18,2000-0000,0.0
2015-03-19,0000-0400,0.0
2015-03-19,0400-0800,0.0
2015-03-19,0800-1200,0.0
2015-03-19,1200-1600,0.0
2015-03-19,1600-2000,0.0
2015-03-19,2000-0000,0.0
2015-03-20,0000-0400,0.0
2015-03-20,0400-0800,0.0
2015-03-20,0800-1200,0.0
2015-03-20,1200-1600,0.25
2015-03-20,1600-2000,0.23
2015-03-20,2000-0000,0.01
2015-03-21,0000-0400,0.0
2015-03-21,0400-0800,0.0
2015-03-21,0800-1200,0.0
2015-03-21,1200-1600,0.0
2015-03-21,1600-2000,0.0
2015-03-21,2000-0000,0.0
2015-03-22,0000-0400,0.0
2015-03-22,0400-0800,0.0
2015-03-22,0800-1200,0.0
2015-03-22,1200-1600,0.0
2015-03-22,1600-2000,0.0
2015-03-22,2000-0000,0.0
2015-03-23,0000-0400,0.0
2015-03-23,0400-0800,0.0
2015-03-23,0800-1200,0.0
2015-03-23,1200-1600,0.0
2015-03-23,1600-2000,0.0
2015-03-23,2000-0000,0.0
2015-03-24,0000-0400,0.0
2015-03-24,0400-0800,0.0
2015-03-24,0800-1200,0.0
2015-03-24,1200-1600,0.0
2015-03-24,1600-2000,0.0
2015-03-24,2000-0000,0.0
2015-03-25,0000-0400,0.0
2015-03-25,0400-0800,0.0
2015-03-25,0800-1200,0.0
2015-03-25,1200-1600,0.03
2015-03-25,1600-2000,0.03
2015-03-25,2000-0000,0.0
2015-03-26,0000-0400,0.0
2015-03-26,0400-0800,0.0
2015-03-26,0800-1200,0.05
2015-03-26,1200-1600,0.05
2015-03-26,1600-2000,0.0
2015-03-26,2000-0000,0.7500000000000002
2015-03-27,0000-0400,0.2
2015-03-27,0400-0800,0.3
2015-03-27,0800-1200,0.0
2015-03-27,1200-1600,0.0
2015-03-27,1600-2000,0.0
2015-03-27,2000-0000,0.0
2015-03-28,0000-0400,0.0
2015-03-28,0400-0800,0.0
2015-03-28,0800-1200,0.0
2015-03-28,1200-1600,0.0
2015-03-28,1600-2000,0.0
2015-03-28,2000-0000,0.0
2015-03-29,0000-0400,0.0
2015-03-29,0400-0800,0.0
2015-03-29,0800-1200,0.0
2015-03-29,1200-1600,0.0
2015-03-29,1600-2000,0.0
2015-03-29,2000-0000,0.0
2015-03-30,0000-0400,0.0
2015-03-30,0400-0800,0.0
2015-03-30,0800-1200,0.0
2015-03-30,1200-1600,0.0
2015-03-30,1600-2000,0.0
2015-03-30,2000-0000,0.0
2015-03-31,0000-0400,0.0
2015-03-31,0400-0800,0.0
2015-03-31,0800-1200,0.0
2015-03-31,1200-1600,0.14
2015-03-31,1600-2000,0.17
2015-03-31,2000-0000,0.03
2015-04-01,0000-0400,0.0
2015-04-01,0400-0800,0.0
2015-04-01,0800-1200,0.0
2015-04-01,1200-1600,0.0
2015-04-01,1600-2000,0.0
2015-04-01,2000-0000,0.0
2015-04-02,0000-0400,0.0
2015-04-02,0400-0800,0.0
2015-04-02,0800-1200,0.0
2015-04-02,1200-1600,0.0
2015-04-02,1600-2000,0.0
2015-04-02,2000-0000,0.0
2015-04-03,0000-0400,0.0
2015-04-03,0400-0800,0.0
2015-04-03,0800-1200,0.02
2015-04-03,1200-1600,0.03
2015-04-03,1600-2000,0.0
2015-04-03,2000-0000,0.0
2015-04-04,0000-0400,0.0
2015-04-04,0400-0800,0.01
2015-04-04,0800-1200,0.0
2015-04-04,1200-1600,0.0
2015-04-04,1600-2000,0.0
2015-04-04,2000-0000,0.0
2015-04-05,0000-0400,0.0
2015-04-05,0400-0800,0.0
2015-04-05,0800-1200,0.0
2015-04-05,1200-1600,0.0
2015-04-05,1600-2000,0.0
2015-04-05,2000-0000,0.0
2015-04-06,0000-0400,0.0
2015-04-06,0400-0800,0.0
2015-04-06,0800-1200,0.0
2015-04-06,1200-1600,0.0
2015-04-06,1600-2000,0.0
2015-04-06,2000-0000,0.0
2015-04-07,0000-0400,0.0
2015-04-07,0400-0800,0.01
2015-04-07,0800-1200,0.0
2015-04-07,1200-1600,0.0
2015-04-07,1600-2000,0.2
2015-04-07,2000-0000,0.03
2015-04-08,0000-0400,0.0
2015-04-08,0400-0800,0.0
2015-04-08,0800-1200,0.0
2015-04-08,1200-1600,0.0
2015-04-08,1600-2000,0.0
2015-04-08,2000-0000,0.0
2015-04-09,0000-0400,0.0
2015-04-09,0400-0800,0.0
2015-04-09,0800-1200,0.0
2015-04-09,1200-1600,0.0
2015-04-09,1600-2000,0.0
2015-04-09,2000-0000,0.0
2015-04-10,0000-0400,0.16
2015-04-10,0400-0800,0.31000000000000005
2015-04-10,0800-1200,0.0
2015-04-10,1200-1600,0.0
2015-04-10,1600-2000,0.0
2015-04-10,2000-0000,0.0
2015-04-11,0000-0400,0.0
2015-04-11,0400-0800,0.0
2015-04-11,0800-1200,0.0
2015-04-11,1200-1600,0.0
2015-04-11,1600-2000,0.0
2015-04-11,2000-0000,0.0
2015-04-12,0000-0400,0.0
2015-04-12,0400-0800,0.0
2015-04-12,0800-1200,0.0
2015-04-12,1200-1600,0.0
2015-04-12,1600-2000,0.0
2015-04-12,2000-0000,0.0
2015-04-13,0000-0400,0.0
2015-04-13,0400-0800,0.0
2015-04-13,0800-1200,0.0
2015-04-13,1200-1600,0.0
2015-04-13,1600-2000,0.0
2015-04-13,2000-0000,0.0
2015-04-14,0000-0400,0.0
2015-04-14,0400-0800,0.01
2015-04-14,0800-1200,0.0
2015-04-14,1200-1600,0.0
2015-04-14,1600-2000,0.0
2015-04-14,2000-0000,0.0
2015-04-15,0000-0400,0.0
2015-04-15,0400-0800,0.0
2015-04-15,0800-1200,0.0
2015-04-15,1200-1600,0.0
2015-04-15,1600-2000,0.0
2015-04-15,2000-0000,0.0
2015-04-16,0000-0400,0.0
2015-04-16,0400-0800,0.0
2015-04-16,0800-1200,0.0
2015-04-16,1200-1600,0.0
2015-04-16,1600-2000,0.0
2015-04-16,2000-0000,0.0
2015-04-17,0000-0400,0.03
2015-04-17,0400-0800,0.16
2015-04-17,0800-1200,0.0
2015-04-17,1200-1600,0.0
2015-04-17,1600-2000,0.0
2015-04-17,2000-0000,0.0
2015-04-18,0000-0400,0.0
2015-04-18,0400-0800,0.0
2015-04-18,0800-1200,0.0
2015-04-18,1200-1600,0.0
2015-04-18,1600-2000,0.0
2015-04-18,2000-0000,0.0
2015-04-19,0000-0400,0.0
2015-04-19,0400-0800,0.0
2015-04-19,0800-1200,0.0
2015-04-19,1200-1600,0.0
2015-04-19,1600-2000,0.0
2015-04-19,2000-0000,0.0
2015-04-20,0000-0400,0.01
2015-04-20,0400-0800,0.16
2015-04-20,0800-1200,2.2100000000000004
2015-04-20,1200-1600,0.18
2015-04-20,1600-2000,0.0
2015-04-20,2000-0000,0.1
2015-04-21,0000-0400,0.22
2015-04-21,0400-0800,0.060000000000000005
2015-04-21,0800-1200,0.1
2015-04-21,1200-1600,0.0
2015-04-21,1600-2000,0.0
2015-04-21,2000-0000,0.0
2015-04-22,0000-0400,0.0
2015-04-22,0400-0800,0.0
2015-04-22,0800-1200,0.0
2015-04-22,1200-1600,0.04
2015-04-22,1600-2000,0.01
2015-04-22,2000-0000,0.0
2015-04-23,0000-0400,0.0
2015-04-23,0400-0800,0.0
2015-04-23,0800-1200,0.0
2015-04-23,1200-1600,0.0
2015-04-23,1600-2000,0.0
2015-04-23,2000-0000,0.0
2015-04-24,0000-0400,0.0
2015-04-24,0400-0800,0.0
2015-04-24,0800-1200,0.0
2015-04-24,1200-1600,0.0
2015-04-24,1600-2000,0.0
2015-04-24,2000-0000,0.0
2015-04-25,0000-0400,0.0
2015-04-25,0400-0800,0.0
2015-04-25,0800-1200,0.0
2015-04-25,1200-1600,0.0
2015-04-25,1600-2000,0.0
2015-04-25,2000-0000,0.0
2015-04-26,0000-0400,0.0
2015-04-26,0400-0800,0.0
2015-04-26,0800-1200,0.0
2015-04-26,1200-1600,0.0
2015-04-26,1600-2000,0.0
2015-04-26,2000-0000,0.0
2015-04-27,0000-0400,0.0
2015-04-27,0400-0800,0.0
2015-04-27,0800-1200,0.0
2015-04-27,1200-1600,0.0
2015-04-27,1600-2000,0.0
2015-04-27,2000-0000,0.0
2015-04-28,0000-0400,0.0
2015-04-28,0400-0800,0.0
2015-04-28,0800-1200,0.0
2015-04-28,1200-1600,0.0
2015-04-28,1600-2000,0.0
2015-04-28,2000-0000,0.0
2015-04-29,0000-0400,0.0
2015-04-29,0400-0800,0.0
2015-04-29,0800-1200,0.0
2015-04-29,1200-1600,0.0
2015-04-29,1600-2000,0.0
2015-04-29,2000-0000,0.0
2015-04-30,0000-0400,0.0
2015-04-30,0400-0800,0.0
2015-04-30,0800-1200,0.0
2015-04-30,1200-1600,0.0
2015-04-30,1600-2000,0.0
2015-04-30,2000-0000,0.0
2015-05-01,0000-0400,0.0
2015-05-01,0400-0800,0.0
